entity,label,n_menciones,n_documentos
Madrid,LOC,123,76
Congreso,ORG,282,57
Guardia Civil,ORG,134,52
España,PER,75,36
General Armada,PER,172,34
CESID,ORG,115,32
Armada,ORG,73,30
Constitución,LOC,47,29
Congreso,LOC,49,28
España,LOC,43,26
Gobierno,LOC,43,26
Valencia,LOC,44,25
López Montero,PER,28,16
JUJEM,ORG,20,16
Fuerzas Armadas,ORG,30,15
Consejo Supremo de Justicia Militar,ORG,21,15
Sala de Justicia,LOC,16,15
MADRID,LOC,27,14
la Zarzuela,LOC,19,14
Guardias Civiles,ORG,14,14
Comandante Pardo,LOC,46,13
General Juste,PER,31,13
ESPAÑA,ORG,19,13
Cortina,LOC,32,12
Gómez Iglesias,PER,29,12
General Aramburu,PER,27,12
Coronel Manchado,PER,22,12
Su Majestad,LOC,18,12
Consejo,ORG,16,12
Constitución,ORG,16,12
Estado,LOC,16,12
GUARDIA,ORG,42,11
Pardo,LOC,35,11
MADRID,ORG,24,11
S.M. el Rey,PER,24,11
Después,PER,16,11
Capitán Abad,LOC,15,11
Región,LOC,15,11
Comandante Cortina,LOC,26,10
SEÑOR,ORG,20,10
El Presidente,PER,14,10
Estado Mayor,LOC,14,10
Código de Justicia Militar,LOC,11,10
ARMADA,ORG,40,9
Teniente,LOC,28,9
General Milans,PER,19,9
División,ORG,15,9
Ministerio Fiscal,LOC,14,9
General Milans del Bosch,LOC,12,9
Torres Rojas,PER,12,9
Consejeros,LOC,11,9
Juan Gris,PER,11,9
Parlamento,LOC,11,9
Capitán Gómez Iglesias,PER,10,9
Pardo Zancada,PER,9,9
Gral,PER,25,8
Congreso de los Diputados,ORG,22,8
Coronel San Martín,PER,21,8
Servicio,LOC,20,8
llegó,PER,16,8
Coronel Ibañez,PER,14,8
Comandante,PER,12,8
Capitán Gómez Iglesias,LOC,11,8
MICROFILMACION,ORG,11,8
Presidente del Tribunal,ORG,11,8
Providencia,LOC,9,8
Causa,LOC,8,8
Consejo Reunido,ORG,8,8
Gobierno,PER,8,8
General ARMADA,ORG,28,7
Enero,LOC,14,7
Operación,LOC,14,7
Centro,LOC,13,7
Autoridad Militar,ORG,12,7
Coronel San Martín,LOC,12,7
Coronel Ibáñez,PER,11,7
Cuartel General,ORG,11,7
Comte,PER,9,7
Ejército,PER,9,7
Marzo,LOC,9,7
Quintana,LOC,9,7
Sevilla,LOC,9,7
calle General Cabrera,LOC,9,7
Instituciones,LOC,8,7
Jefes,PER,8,7
Milans,PER,8,7
Región Militar,ORG,8,7
Señor,PER,8,7
Su Majestad,PER,8,7
Ante,PER,7,7
Fecha N,ORG,7,7
Real Decreto,PER,7,7
Según,PER,7,7
de Valencia,LOC,7,7
Declaración,PER,20,6
Gral. Armada,PER,18,6
Sr. Hermosilla,PER,12,6
Guardias,ORG,9,6
Oficiales,LOC,9,6
Además,PER,8,6
Bando,PER,8,6
Capitán Batista,PER,8,6
Al Sr. Hermosilla,PER,7,6
Capitanía,PER,7,6
Mando,ORG,7,6
Miguel,PER,7,6
Patria,ORG,7,6
CONSEJO SUPREMO,ORG,6,6
Consejo Supremo el Consejero Togado Juez Especial,ORG,6,6
Código de Justicia Militar,ORG,6,6
El General,LOC,6,6
Su Majestad el Rey,PER,6,6
TORNO AL DESARROLLO,ORG,6,6
la Ley,LOC,6,6
POLICIA,ORG,36,5
Diputados,ORG,12,5
Teniente General Milans,ORG,10,5
¿Qué,PER,10,5
Capitán de la Guardia Civil,LOC,9,5
EJERCITO,LOC,9,5
Información,ORG,9,5
Ministro de Defensa,LOC,9,5
Pavía,LOC,9,5
Abril,LOC,8,5
Europa,LOC,8,5
Palacio de la Zarzuela,LOC,8,5
Presidente del Gobierno,PER,8,5
Capitanías,LOC,7,5
Niega,PER,7,5
Teniente,ORG,7,5
Ayudante,PER,6,5
GOBIERNO,ORG,6,5
General Gutiérrez Mellado,PER,6,5
General Juste,LOC,6,5
Lérida,PER,6,5
Ministerio del Interior,LOC,6,5
Muñoz Perea,PER,6,5
OIDREP,ORG,6,5
Orden,ORG,6,5
Ordenanzas,PER,6,5
Policía Nacional,LOC,6,5
Reina,PER,6,5
SITUACION,ORG,6,5
Santamaría,PER,6,5
Sumario,LOC,6,5
Villalonga,LOC,6,5
rebelión,PER,6,5
Allí,LOC,5,5
ENTRADA,ORG,5,5
Exmo,PER,5,5
General de División,PER,5,5
Gobierno Militar,LOC,5,5
Manifiesta,PER,5,5
Ministro,LOC,5,5
Noviembre,LOC,5,5
POLITICA,ORG,5,5
C.J.M,ORG,12,4
General TORRES,PER,11,4
Capitán Acera,LOC,9,4
General Prieto,PER,9,4
Autoridad,LOC,8,4
Capitán Muñecas,LOC,8,4
General Miláns,PER,8,4
Londres,LOC,8,4
PREJUJEM,ORG,8,4
S.M. El Rey,PER,8,4
ALCAZAR,ORG,7,4
EXCMO,ORG,7,4
Hotel Palace,LOC,7,4
Junio,LOC,7,4
Ministro de Asuntos Exteriores,LOC,7,4
Teniente General Milans del Bosch,ORG,7,4
Teniente General Miláns,ORG,7,4
ACTUACION,ORG,6,4
Autoridades,PER,6,4
Boza Carranco,PER,6,4
Cabo,LOC,6,4
Capital,LOC,6,4
Capitán Dusmet,LOC,6,4
Cartagena,LOC,6,4
Coronel Alcalá Galiano,PER,6,4
Coronel Tejero,PER,6,4
Galaxia,LOC,6,4
General Gabeiras,PER,6,4
General Torres Rojas,PER,6,4
Ministerio,LOC,6,4
Washington,LOC,6,4
Asegura,LOC,5,4
Brigada,LOC,5,4
Capitán García Almenta,LOC,5,4
Comenzó,LOC,5,4
El Teniente,LOC,5,4
El Teniente Coronel Tejero,LOC,5,4
Escandell,LOC,5,4
Estado Mayor del Ejército,LOC,5,4
Febrero,LOC,5,4
General Jefe,PER,5,4
Historia,ORG,5,4
INFORME,ORG,5,4
Interrogatorio,PER,5,4
LUIS TORRES,PER,5,4
Monarquía,PER,5,4
NUÑEZ,ORG,5,4
Niega,LOC,5,4
Nota Informativa,LOC,5,4
Oficial,LOC,5,4
SEGURIDAD,ORG,5,4
Sr. García Carrés,PER,5,4
Sr. Zugasti,PER,5,4
Superioridad,ORG,5,4
Tejero,LOC,5,4
Zaragoza,LOC,5,4
Abad,LOC,4,4
Batista,PER,4,4
CAPITAN,ORG,4,4
Calvo Sotelo,PER,4,4
Capitanía General,LOC,4,4
Capitán Batista,LOC,4,4
Continúa,LOC,4,4
Conversaciones,PER,4,4
Cortina,PER,4,4
Debe,PER,4,4
Después,LOC,4,4
Director General de la Guardia Civil,ORG,4,4
División Azul,LOC,4,4
EJERCITO,ORG,4,4
El País,LOC,4,4
España,ORG,4,4
García Carrés,PER,4,4
General Caruana,PER,4,4
General Fernández Campos,PER,4,4
Hermosilla,PER,4,4
Jefe Supremo,PER,4,4
Lleva,PER,4,4
Menéndez,LOC,4,4
Miláns del Bosch,PER,4,4
Monarquía,LOC,4,4
País Vasco,LOC,4,4
Pilar Urbano,PER,4,4
Plaza de Neptuno,LOC,4,4
ROMAN,ORG,4,4
Redacción,LOC,4,4
Regiones Militares,PER,4,4
Sanz Arribas,PER,4,4
Sanz Esteban,PER,4,4
Servicio,PER,4,4
Tráfico,PER,4,4
Valdemoro,PER,4,4
Zona,LOC,4,4
ningún,PER,4,4
teléfono,PER,4,4
JEFATURA SUPERIOR,LOC,32,3
Bueno,PER,13,3
Antonio,PER,10,3
Sectores,LOC,10,3
Comandancia,LOC,9,3
Teniente General MILANS DEL BOSCH,ORG,9,3
Zarzuela,LOC,9,3
Coronel Manchado,LOC,8,3
PAMPLONA,ORG,7,3
Secretario General,LOC,7,3
Universidad,ORG,7,3
ACCIONES,ORG,6,3
El Comandante Cortina,PER,6,3
Facultad de Derecho,LOC,6,3
Fuerza Pública,ORG,6,3
Gabeiras,PER,6,3
Ilmo,LOC,6,3
Informe,PER,6,3
Milans del Bosch,LOC,6,3
OCUPACION,ORG,6,3
PROTESTA PREVISTAS,ORG,6,3
Tratar,PER,6,3
Barcelona,LOC,5,3
Capitanes Generales,ORG,5,3
Capitán de Navío Menéndez,LOC,5,3
Coronel Escandell,PER,5,3
DEMOCRACIA,ORG,5,3
Exmo,LOC,5,3
Franco,PER,5,3
Gral. Milans,PER,5,3
INTENTO,ORG,5,3
Muñecas,LOC,5,3
OVIEDO,ORG,5,3
POLICIALES,ORG,5,3
Palacio del Congreso,LOC,5,3
Palacio del Congreso de los Diputados,LOC,5,3
Recibió,PER,5,3
SEVILLA,ORG,5,3
UNIDAD,ORG,5,3
los Estados Unidos,LOC,5,3
AMERICA,ORG,4,3
ARENAS,ORG,4,3
Alcalá,LOC,4,3
Anexo,PER,4,3
Ayuntamiento,LOC,4,3
BARCELONA,ORG,4,3
CORTINA,ORG,4,3
Comandante PARDO,LOC,4,3
Comandante PARDO,PER,4,3
Dirección General de la Guardia Civil,PER,4,3
El Capitán,LOC,4,3
El Capitán Gómez Iglesias,LOC,4,3
García Villalonga,PER,4,3
General Santamaría,PER,4,3
Generales Milans,PER,4,3
Grecia,LOC,4,3
III Región Militar,ORG,4,3
Ignacio Román,PER,4,3
JEFES,ORG,4,3
Juan Carlos,PER,4,3
Juez Instructor,PER,4,3
López Silva,PER,4,3
MOLINA,ORG,4,3
Ministerio Público,LOC,4,3
Movimiento Comunista,ORG,4,3
Operación Galaxia,LOC,4,3
Policía Militar,PER,4,3
Policía Nacional,PER,4,3
RELACION,ORG,4,3
RESPUESTA,ORG,4,3
Santamaría,LOC,4,3
Sección,LOC,4,3
Seguidamente,LOC,4,3
Segura,LOC,4,3
Servicio de Información,ORG,4,3
Sr. De Miguel,PER,4,3
Tribunal Supremo,LOC,4,3
Unidades,LOC,4,3
VALENCIA,LOC,4,3
Voz de Madrid,ORG,4,3
Zugasti,PER,4,3
columna del,LOC,4,3
2.6.- Interrogatorio,PER,3,3
40'323.2,LOC,3,3
ACTUACIONES,ORG,3,3
Actitud,PER,3,3
Acuartelamiento,ORG,3,3
Al Sr. Quintana,PER,3,3
Al Sr. Villalonga,PER,3,3
Alcalde,LOC,3,3
Alemania,LOC,3,3
Allí,PER,3,3
Andalucía,LOC,3,3
Análisis,PER,3,3
Aramburu,LOC,3,3
Areilza,PER,3,3
Asamblea,ORG,3,3
Ayer,ORG,3,3
BOZA CARRANCO,PER,3,3
BRIPAC,ORG,3,3
Ballesteros,LOC,3,3
Boza,PER,3,3
CARRES,ORG,3,3
Cadena SER,ORG,3,3
Capitán Camacho,LOC,3,3
Capitán Cid Fortea,LOC,3,3
Capitán GOMEZ,ORG,3,3
Casa Real,LOC,3,3
Comandante Pardo Zancada,LOC,3,3
Comandante de Infantería,ORG,3,3
Conocía,PER,3,3
Consejero,LOC,3,3
Consejo Supremo,ORG,3,3
Consejo Supremo de Justicia Militar JUZGADO ESPECIAL S/,ORG,3,3
Continúa,PER,3,3
Coroneles,LOC,3,3
Cuartel General de la DAC,ORG,3,3
De Miguel,PER,3,3
Departamento,LOC,3,3
Diciembre,LOC,3,3
Diciembre,PER,3,3
Dirección General de la Guardia Civil,ORG,3,3
ESTADO MAYOR,LOC,3,3
EUROPA,ORG,3,3
EXTERIOR,ORG,3,3
Ejército,LOC,3,3
El Fiscal,LOC,3,3
El General Juste,LOC,3,3
El Gobierno,LOC,3,3
Empieza,LOC,3,3
Está,PER,3,3
Expone,PER,3,3
Extremadura,LOC,3,3
Fevereiro,LOC,3,3
Finaliza,PER,3,3
Fuerza Nueva,ORG,3,3
GABINETE,ORG,3,3
General PRIETO,ORG,3,3
Generales Armada,PER,3,3
Grupos Tácticos,ORG,3,3
HENARES,ORG,3,3
INFORMACIONES,ORG,3,3
Jefes y Oficiales,ORG,3,3
Junta Militar,ORG,3,3
Justicia,ORG,3,3
LINEAS,ORG,3,3
LUIS ABAD GUTIERREZ,PER,3,3
Los Consejeros,ORG,3,3
Luego,LOC,3,3
MOMENTO,ORG,3,3
Mando,LOC,3,3
Mando Militar,ORG,3,3
Melilla,LOC,3,3
Menciona,LOC,3,3
Militares,PER,3,3
Muñoz Grandes,PER,3,3
Nación,LOC,3,3
Ordenó,PER,3,3
PODER,ORG,3,3
POLITICA EXTERIOR,ORG,3,3
Pardo de Santayana,PER,3,3
Parlamento,ORG,3,3
Proceso,ORG,3,3
RESUMEN,ORG,3,3
Reconoce,PER,3,3
Residencia,ORG,3,3
SITUACION ACTUAL,ORG,3,3
Secretario,PER,3,3
Senado,ORG,3,3
Sincerely,PER,3,3
Sr. Gómez García,PER,3,3
Sr. de Miguel,PER,3,3
Sres,LOC,3,3
Teniente General Gutiérrez Mellado,LOC,3,3
Teniente General MILANS,ORG,3,3
Tenientes de la Guardia Civil,ORG,3,3
Torres Rojas,LOC,3,3
UNITED,ORG,3,3
VALLADOLID,LOC,3,3
Villaviciosa,LOC,3,3
WASHINGTON,LOC,3,3
aquél,PER,3,3
empezó,PER,3,3
información,ORG,3,3
jamás,PER,3,3
parecía,PER,3,3
según,PER,3,3
tenía,LOC,3,3
CUERPO,ORG,14,2
S.M. EL REY,PER,12,2
Gral. Gabeiras,PER,9,2
Gral. Prieto,PER,9,2
H. Palace,PER,9,2
LLAMADA,ORG,9,2
Manchado,PER,9,2
NUMERO,ORG,9,2
OPERACIONES,ORG,9,2
Coronel SAN MARTIN,PER,8,2
Radio,ORG,8,2
Sección E.M,LOC,8,2
Cabo Monge,LOC,6,2
Coronel IBAÑEZ,PER,6,2
El Ferrol del Caudillo,LOC,6,2
General Alcalá Galiano,PER,6,2
General MILANS,PER,6,2
U.G.T,ORG,6,2
Ayudantes,PER,5,2
CC.00,LOC,5,2
Capitán de Navío MENENDEZ,LOC,5,2
Espanha,ORG,5,2
Fuerzas de Seguridad del Estado,ORG,5,2
Gral. Aramburu,PER,5,2
Málaga,LOC,5,2
Más Oliver,PER,5,2
PARTICIPACION,ORG,5,2
PROPUESTA,ORG,5,2
Procesado,LOC,5,2
Propaganda,LOC,5,2
Secretario General,ORG,5,2
Teniente General,PER,5,2
Capitán Bobis,LOC,4,2
Capitán D. JOSE,LOC,4,2
Capitán de Infantería,LOC,4,2
Congreso de los Estados Unidos,ORG,4,2
Coronel Sanmartín,LOC,4,2
Desplazamiento,PER,4,2
E.M.K,PER,4,2
El Rey,PER,4,2
General MILANS DEL BOSCH,ORG,4,2
Gral. Miláns,PER,4,2
Grupos,ORG,4,2
Guardia Civil Don,ORG,4,2
Guardia Civil Tejero Molina,ORG,4,2
Noticia,LOC,4,2
Ortiz Call,PER,4,2
Palacio,LOC,4,2
Recomendación,PER,4,2
Reconoció,LOC,4,2
Teniente Izquierdo,PER,4,2
la Capital,LOC,4,2
Academia de Tráfico,ORG,3,2
Acera,LOC,3,2
Aire,LOC,3,2
Al Sr. de Miguel,PER,3,2
Alerta Roja,ORG,3,2
Alonso Hernaiz,PER,3,2
Antonio Muñoz Perea,PER,3,2
Auto de Procesamiento,LOC,3,2
Blas Piñar,PER,3,2
Bobis González,PER,3,2
COMUNICACION,ORG,3,2
CORDOBA,ORG,3,2
Capitán de Intendencia Cid Fortea,LOC,3,2
Comandante Bonel,LOC,3,2
Comandante PARDO ZANCADA,ORG,3,2
Coronel SAN MARTIN,LOC,3,2
DUSMET,ORG,3,2
El Alcázar,LOC,3,2
Establecimiento,PER,3,2
FASCISMO,ORG,3,2
Facultad de Medicina,LOC,3,2
Fuerzas,ORG,3,2
GOMEZ,ORG,3,2
GONZALEZ,ORG,3,2
Gabeiras,LOC,3,2
INCIDENTES,ORG,3,2
Ibañez Inglés,PER,3,2
Infor,LOC,3,2
Inglaterra,LOC,3,2
Inteligencia,ORG,3,2
Italia,LOC,3,2
La Voz de Madrid,LOC,3,2
Labernia,LOC,3,2
Las Palmas,LOC,3,2
Letrado,PER,3,2
Liga Comunista Revolucionaria,ORG,3,2
Martín Fernández,PER,3,2
Negó,PER,3,2
OPINION,ORG,3,2
P.C.E,ORG,3,2
P.T.E,ORG,3,2
Policía Militar,ORG,3,2
Quiero,PER,3,2
Rando,LOC,3,2
Reglamento,ORG,3,2
SAN SEBASTIAN,ORG,3,2
SECRETARÍA,ORG,3,2
SECRETO,ORG,3,2
Sargento Sales Maroto,ORG,3,2
Sgto,LOC,3,2
Sr. Calvo Sotelo,PER,3,2
Sr. Escandell,PER,3,2
Sr. Liñán,PER,3,2
Suarez,PER,3,2
TRANQUILIDAD,ORG,3,2
Teniente Boza,PER,3,2
Tráfico,LOC,3,2
Tuvo,LOC,3,2
Unidad Escuela,ORG,3,2
Valladolid,LOC,3,2
Vamos,LOC,3,2
2.1.- Continuación,PER,2,2
2.1.- Interrogatorio,PER,2,2
AL PARECER,ORG,2,2
ALTA CONSIDERACION,LOC,2,2
ALVAREZ,ORG,2,2
APARATO,ORG,2,2
ARTICULO,ORG,2,2
Abogado,LOC,2,2
Academia,ORG,2,2
Acciones,PER,2,2
Acción,PER,2,2
Acorazada,PER,2,2
Administración,LOC,2,2
Adolfo Salvador,PER,2,2
Adolfo Suarez,PER,2,2
Agosto,PER,2,2
Al Sr. Escandell,PER,2,2
Al Sr. López Montero,PER,2,2
Al Sr. López Silva,PER,2,2
Al Sr. Novalvos,PER,2,2
Al Sr. Segura,PER,2,2
Al Sr. Zugasti,PER,2,2
Alcalá,PER,2,2
Alcalá Galiano,PER,2,2
